ROI Label,input_roi,output_roi,mapped_indices
255,17Networks_RH_SomMotA_6,7Networks_RH_SomMot_25,228
256,17Networks_RH_SomMotA_7,7Networks_RH_SomMot_26,229
257,17Networks_RH_SomMotA_8,7Networks_RH_SomMot_27,230
258,17Networks_RH_SomMotA_9,7Networks_RH_SomMot_28,231
259,17Networks_RH_SomMotA_10,7Networks_RH_SomMot_29,232
260,17Networks_RH_SomMotA_11,7Networks_RH_SomMot_30,233
261,17Networks_RH_SomMotA_12,7Networks_RH_SomMot_31,234
262,17Networks_RH_SomMotA_13,7Networks_RH_SomMot_32,235
263,17Networks_RH_SomMotA_14,7Networks_RH_SomMot_33,236
264,17Networks_RH_SomMotA_15,7Networks_RH_SomMot_34,237
265,17Networks_RH_SomMotA_16,7Networks_RH_SomMot_35,238
266,17Networks_RH_SomMotA_17,7Networks_RH_SomMot_36,239
267,17Networks_RH_DorsAttnB_PostC_8,7Networks_RH_SomMot_37,280
268,17Networks_RH_SomMotA_18,7Networks_RH_SomMot_38,240
269,17Networks_RH_SomMotA_19,7Networks_RH_SomMot_39,241
270,17Networks_RH_SomMotA_20,7Networks_RH_SomMot_40,242
271,17Networks_RH_DorsAttnA_TempOcc_2,7Networks_RH_DorsAttn_Post_1,259
272,17Networks_RH_DorsAttnB_TempOcc_1,7Networks_RH_DorsAttn_Post_2,272
273,17Networks_RH_DorsAttnA_ParOcc_2,7Networks_RH_DorsAttn_Post_3,262
274,17Networks_RH_DefaultC_IPL_2,7Networks_RH_DorsAttn_Post_4,385
275,17Networks_RH_DorsAttnA_SPL_2,7Networks_RH_DorsAttn_Post_5,265
276,17Networks_RH_DorsAttnB_PostC_2,7Networks_RH_DorsAttn_Post_6,274
277,17Networks_RH_DorsAttnA_SPL_3,7Networks_RH_DorsAttn_Post_7,266
278,17Networks_RH_DorsAttnB_PostC_3,7Networks_RH_DorsAttn_Post_8,275
279,17Networks_RH_DorsAttnB_PostC_4,7Networks_RH_DorsAttn_Post_9,276
280,17Networks_RH_DorsAttnA_SPL_4,7Networks_RH_DorsAttn_Post_10,267
281,17Networks_RH_ContA_IPS_4,7Networks_RH_DorsAttn_Post_11,327
282,17Networks_RH_DorsAttnA_SPL_5,7Networks_RH_DorsAttn_Post_12,268
283,17Networks_RH_DorsAttnB_PostC_5,7Networks_RH_DorsAttn_Post_13,277
284,17Networks_RH_DorsAttnA_SPL_6,7Networks_RH_DorsAttn_Post_14,269
285,17Networks_RH_ContC_pCun_5,7Networks_RH_DorsAttn_Post_15,354
286,17Networks_RH_DorsAttnA_SPL_7,7Networks_RH_DorsAttn_Post_16,270
287,17Networks_RH_DorsAttnB_PostC_6,7Networks_RH_DorsAttn_Post_17,278
288,17Networks_RH_DorsAttnA_SPL_8,7Networks_RH_DorsAttn_Post_18,271
289,17Networks_RH_DorsAttnB_PostC_7,7Networks_RH_DorsAttn_Post_19,279
290,17Networks_RH_DorsAttnB_FEF_1,7Networks_RH_DorsAttn_FEF_1,281
291,17Networks_RH_DorsAttnB_FEF_2,7Networks_RH_DorsAttn_FEF_2,282
292,17Networks_RH_DorsAttnB_FEF_3,7Networks_RH_DorsAttn_FEF_3,283
293,17Networks_RH_ContA_PFCl_4,7Networks_RH_DorsAttn_PrCv_1,332
294,17Networks_RH_TempPar_6,7Networks_RH_SalVentAttn_TempOccPar_1,395
295,17Networks_RH_TempPar_7,7Networks_RH_SalVentAttn_TempOccPar_2,396
296,17Networks_RH_TempPar_10,7Networks_RH_SalVentAttn_TempOccPar_3,399
297,17Networks_RH_SalVentAttnA_ParOper_1,7Networks_RH_SalVentAttn_TempOccPar_4,284
298,17Networks_RH_SalVentAttnA_ParOper_2,7Networks_RH_SalVentAttn_TempOccPar_5,285
299,17Networks_RH_SalVentAttnA_ParOper_3,7Networks_RH_SalVentAttn_TempOccPar_6,286
300,17Networks_RH_SalVentAttnB_IPL_1,7Networks_RH_SalVentAttn_TempOccPar_7,303
301,17Networks_RH_SalVentAttnA_PrC_1,7Networks_RH_SalVentAttn_PrC_1,287
302,17Networks_RH_SalVentAttnA_Ins_1,7Networks_RH_SalVentAttn_FrOperIns_1,288
303,17Networks_RH_SalVentAttnA_Ins_2,7Networks_RH_SalVentAttn_FrOperIns_2,289
304,17Networks_RH_SalVentAttnA_Ins_3,7Networks_RH_SalVentAttn_FrOperIns_3,290
305,17Networks_RH_SalVentAttnA_Ins_4,7Networks_RH_SalVentAttn_FrOperIns_4,291
306,17Networks_RH_SalVentAttnB_Ins_2,7Networks_RH_SalVentAttn_FrOperIns_5,309
307,17Networks_RH_SalVentAttnA_FrOper_1,7Networks_RH_SalVentAttn_FrOperIns_6,292
308,17Networks_RH_SalVentAttnA_FrOper_2,7Networks_RH_SalVentAttn_FrOperIns_7,293
309,17Networks_RH_SalVentAttnA_FrOper_3,7Networks_RH_SalVentAttn_FrOperIns_8,294
310,17Networks_RH_SalVentAttnB_PFCl_3,7Networks_RH_SalVentAttn_PFCl_1,307
311,17Networks_RH_SalVentAttnB_PFCmp_2,7Networks_RH_SalVentAttn_Med_1,311
312,17Networks_RH_SalVentAttnA_FrMed_1,7Networks_RH_SalVentAttn_Med_2,295
313,17Networks_RH_SalVentAttnA_ParMed_2,7Networks_RH_SalVentAttn_Med_3,297
314,17Networks_RH_SalVentAttnA_FrMed_2,7Networks_RH_SalVentAttn_Med_4,298
315,17Networks_RH_SalVentAttnA_ParMed_3,7Networks_RH_SalVentAttn_Med_5,299
316,17Networks_RH_SalVentAttnA_ParMed_4,7Networks_RH_SalVentAttn_Med_6,300
317,17Networks_RH_SalVentAttnA_FrMed_3,7Networks_RH_SalVentAttn_Med_7,301
318,17Networks_RH_SalVentAttnA_FrMed_4,7Networks_RH_SalVentAttn_Med_8,302
319,17Networks_RH_LimbicB_OFC_1,7Networks_RH_Limbic_OFC_1,312
320,17Networks_RH_LimbicB_OFC_2,7Networks_RH_Limbic_OFC_2,313
321,17Networks_RH_LimbicB_OFC_3,7Networks_RH_Limbic_OFC_3,314
322,17Networks_RH_LimbicB_OFC_4,7Networks_RH_Limbic_OFC_4,315
323,17Networks_RH_LimbicB_OFC_5,7Networks_RH_Limbic_OFC_5,316
324,17Networks_RH_LimbicB_OFC_6,7Networks_RH_Limbic_OFC_6,317
